size,EbNo_dB,metric,contrast,mean_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,unit
N288_M144,pooled,BER,binary_minus_additive,0.01192650462962963,0.0009313535701682684,0.0002945198588661178,0.011260300708874472,0.01259270855038479,10,paired seed-batch mean
N288_M144,pooled,BER,additive_minus_binary,-0.01192650462962963,0.0009313535701682684,0.0002945198588661178,-0.01259270855038479,-0.011260300708874472,10,paired seed-batch mean
N288_M144,2.0,FER,binary_minus_additive,0.12879999999999997,0.011419281938896159,0.003611094017053558,0.12063170533342482,0.13696829466657512,10,paired seed-batch mean
N288_M144,2.0,FER,additive_minus_binary,-0.12879999999999997,0.011419281938896159,0.003611094017053558,-0.13696829466657512,-0.12063170533342482,10,paired seed-batch mean
N288_M144,2.5,FER,binary_minus_additive,0.0502,0.012218383235473048,0.003863792034891226,0.041460102417076046,0.05893989758292396,10,paired seed-batch mean
N288_M144,2.5,FER,additive_minus_binary,-0.0502,0.012218383235473048,0.003863792034891226,-0.05893989758292396,-0.041460102417076046,10,paired seed-batch mean
N288_M144,3.0,FER,binary_minus_additive,0.0060999999999999995,0.004433458644845529,0.0014019827229875392,0.002928715080602186,0.009271284919397813,10,paired seed-batch mean
N288_M144,3.0,FER,additive_minus_binary,-0.0060999999999999995,0.004433458644845529,0.0014019827229875392,-0.009271284919397813,-0.002928715080602186,10,paired seed-batch mean
N288_M144,pooled,FER,binary_minus_additive,0.0617,0.005480492903848685,0.0017330840276552025,0.05777976392944393,0.06562023607055606,10,paired seed-batch mean
N288_M144,pooled,FER,additive_minus_binary,-0.0617,0.005480492903848685,0.0017330840276552025,-0.06562023607055606,-0.05777976392944393,10,paired seed-batch mean
