size,method,coefficient,seed,EbNo_dB,BER,FER,syndrome_violation_rate,n_trials,source
N288_M144,additive,0.9,20308958,3.0,0.0005694444444444445,0.01,0.01,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20316980,2.0,0.016732638888888887,0.154,0.15,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20316980,2.5,0.0032569444444444443,0.04,0.036,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20316980,3.0,0.00011458333333333333,0.002,0.002,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20325002,2.0,0.01898611111111111,0.175,0.172,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20325002,2.5,0.00440625,0.046,0.045,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20325002,3.0,0.00090625,0.011,0.011,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20333024,2.0,0.01790625,0.16,0.159,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20333024,2.5,0.0035555555555555557,0.035,0.034,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20333024,3.0,0.00038888888888888887,0.005,0.004,1000,existing high-stat matched-control confirmation
N96_M48,binary_state,0.25,20260826,2.0,0.0485625,0.426,0.254,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20260826,2.5,0.02821875,0.297,0.13,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20260826,3.0,0.014864583333333334,0.191,0.052,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20268848,2.0,0.05286458333333333,0.471,0.293,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20268848,2.5,0.025677083333333333,0.264,0.112,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20268848,3.0,0.015583333333333333,0.198,0.044,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20276870,2.0,0.04878125,0.441,0.275,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20276870,2.5,0.027135416666666665,0.283,0.102,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20276870,3.0,0.0125625,0.176,0.036,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20284892,2.0,0.04984375,0.436,0.263,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20284892,2.5,0.0274375,0.286,0.128,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20284892,3.0,0.013333333333333334,0.181,0.033,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20292914,2.0,0.0526875,0.455,0.266,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20292914,2.5,0.023541666666666666,0.262,0.113,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20292914,3.0,0.015510416666666667,0.209,0.044,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20300936,2.0,0.0510625,0.473,0.271,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20300936,2.5,0.020260416666666666,0.248,0.088,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20300936,3.0,0.012104166666666666,0.183,0.035,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20308958,2.0,0.04923958333333334,0.435,0.266,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20308958,2.5,0.026010416666666668,0.282,0.108,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20308958,3.0,0.013666666666666667,0.184,0.041,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20316980,2.0,0.05379166666666667,0.474,0.283,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20316980,2.5,0.027645833333333335,0.296,0.112,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20316980,3.0,0.01246875,0.174,0.039,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20325002,2.0,0.05146875,0.482,0.281,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20325002,2.5,0.02659375,0.281,0.118,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20325002,3.0,0.013666666666666667,0.187,0.04,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20333024,2.0,0.052083333333333336,0.46,0.268,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20333024,2.5,0.0265625,0.287,0.122,1000,new high-stat binary-state run
N96_M48,binary_state,0.25,20333024,3.0,0.015375,0.205,0.033,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20260826,2.0,0.4993958333333333,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20260826,2.5,0.4986770833333333,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20260826,3.0,0.49785416666666665,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20268848,2.0,0.5004375,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20268848,2.5,0.49873958333333335,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20268848,3.0,0.5001875,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20276870,2.0,0.5017291666666667,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20276870,2.5,0.4991979166666667,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20276870,3.0,0.4991875,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20284892,2.0,0.4976770833333333,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20284892,2.5,0.49971875,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20284892,3.0,0.5001979166666667,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20292914,2.0,0.5007083333333333,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20292914,2.5,0.49865625,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20292914,3.0,0.50059375,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20300936,2.0,0.4988854166666667,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20300936,2.5,0.4988125,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20300936,3.0,0.5011666666666666,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20308958,2.0,0.5020833333333333,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20308958,2.5,0.50090625,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20308958,3.0,0.5008020833333333,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20316980,2.0,0.4988854166666667,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20316980,2.5,0.4996041666666667,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20316980,3.0,0.5003229166666666,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20325002,2.0,0.4973020833333333,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20325002,2.5,0.5000104166666667,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20325002,3.0,0.49966666666666665,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20333024,2.0,0.4996875,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20333024,2.5,0.49909375,1.0,0.0,1000,new high-stat binary-state run
N192_M96,binary_state,0.5,20333024,3.0,0.5005833333333334,1.0,0.0,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20260826,2.0,0.04306597222222222,0.296,0.293,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20260826,2.5,0.010961805555555556,0.079,0.077,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20260826,3.0,0.0016145833333333333,0.012,0.011,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20268848,2.0,0.041555555555555554,0.279,0.276,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20268848,2.5,0.011423611111111112,0.084,0.084,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20268848,3.0,0.0023819444444444443,0.016,0.015,1000,new high-stat binary-state run
