size,code_id,scope,EbNo_dB,metric,difference_definition,mean_paired_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,ci_excludes_zero_in_additive_direction
N192_M96,C09,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.961,0.017288403306519935,0.005467073155618913,0.9486326213011693,0.9733673786988306,10,1
N192_M96,C09,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.25878645833333336,0.0029939788550764697,0.0009467792448424821,0.25664469488297137,0.26092822178369535,10,1
N192_M96,C09,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.993,0.009486832980505146,0.0030000000000000027,0.9862135285114377,0.9997864714885623,10,1
N192_M96,C09,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.993,0.009486832980505146,0.0030000000000000027,0.9862135285114377,0.9997864714885623,10,1
N192_M96,C09,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.27482291666666664,0.0030628660967877423,0.0009685633033958999,0.27263187425221197,0.2770139590811213,10,1
N192_M96,C09,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9433333333333334,0.010772621905369624,0.003406602159279088,0.935627063857726,0.9510396028089407,10,1
N192_M96,C09,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9480000000000001,0.01032795558988647,0.0032659863237109116,0.9406118256440339,0.9553881743559662,10,1
N288_M144,C00,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.3086597222222222,0.005055319193023015,0.0015986322949117118,0.3050433647255178,0.3122760797189266,10,1
N288_M144,C00,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.837,0.030203016773531433,0.009551032521262928,0.8153940633693726,0.8586059366306273,10,1
N288_M144,C00,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.8379999999999999,0.03011090610836322,0.00952190457139046,0.8164599553698157,0.859540044630184,10,1
N288_M144,C00,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.3197604166666667,0.0026717541049707436,0.0008448828319612145,0.31784915891657317,0.32167167441676026,10,1
N288_M144,C00,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.96,0.022607766610417582,0.007149203529842412,0.9438273780262652,0.9761726219737348,10,1
