size,variant,implementation_mode,lambda_mem,seed,trial_index,n_cycles,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_escape_probability,late_channel_alignment,late_channel_alignment_gap_to_transmitted,late_hard_channel_disagreement_rate,mean_state_BER,late_state_BER,mean_syndrome_weight_fraction,late_syndrome_weight_fraction,mean_bit_flip_rate,late_bit_flip_rate,mean_backflip_rate,late_backflip_rate
N192_M96,pSA,pSA,0.0,20268848,0,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3313804022597212,0.37186130087148145,0.30847764756944446,0.32714952256944446,0.325107421875,0.43111002604166665,0.43031901041666665,0.19398871527777778,0.19328667534722221,0.14416415638364435,0.14319294116133846
N192_M96,pSA,pSA,0.0,20268848,1,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3486834032026031,0.412583873598578,0.29736653645833333,0.3088446723090278,0.30542860243055553,0.42838270399305556,0.4266775173611111,0.19064751519097223,0.189091796875,0.1379278270159274,0.1361206406338851
N192_M96,pSA,pSA,0.0,20268848,2,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.32900059228880746,0.3833099976882516,0.3097634548611111,0.32437120225694444,0.32325086805555553,0.4308637152777778,0.43039496527777776,0.19377197265625,0.19307508680555555,0.14341223303348638,0.14265810283017052
N192_M96,pSA,pSA,0.0,20268848,3,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.32351526765929817,0.38272069213897686,0.3138151041666667,0.32804144965277776,0.32745008680555554,0.43333875868055555,0.4339105902777778,0.19551079644097222,0.19556640625,0.14548618722304507,0.14538830878841463
N192_M96,pSA,pSA,0.0,20268848,4,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.31146667400693434,0.3567980590748476,0.3167599826388889,0.33785753038194444,0.3345551215277778,0.4364605034722222,0.43563368055555557,0.19893527560763888,0.19823567708333334,0.15023021425349664,0.14894859051122503
N192_M96,pSA,pSA,0.0,20268848,5,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3135009677740558,0.34890450111804133,0.3153949652777778,0.33871934678819443,0.33756727430555555,0.43345648871527775,0.4339192708333333,0.19666069878472223,0.1970627170138889,0.14870607172260009,0.14873765542817174
N192_M96,pSA,pSA,0.0,20268848,6,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3119229003376989,0.36593610478726296,0.31662109375,0.33619547526041665,0.3345095486111111,0.43557020399305557,0.43517361111111114,0.19809977213541666,0.197275390625,0.14922390021200535,0.1482255037671462
N192_M96,pSA,pSA,0.0,20268848,7,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3337878097389883,0.3571884975412217,0.30599500868055557,0.33030707465277775,0.32757921006944446,0.4323546006944444,0.4322591145833333,0.1941889105902778,0.19300347222222222,0.14499303716509332,0.14351851104789168
N192_M96,pSA,pSA,0.0,20268848,8,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.32857749556770566,0.36533855246147556,0.30900390625,0.33084608289930556,0.32813585069444445,0.43140353732638886,0.4330859375,0.19382703993055556,0.19472005208333334,0.14483886411351243,0.14490913906600258
N192_M96,pSA,pSA,0.0,20268848,9,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.32024398781348656,0.39585235159212057,0.3143305121527778,0.3253154839409722,0.323818359375,0.43320149739583336,0.43369574652777776,0.19577880859375,0.19583550347222223,0.145097285557254,0.14480869494052157
