size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,additive,lambda_pSA,0.8,20284892,2.5,0.015708333333333335,0.2,0.06,0.7,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20284892,3.0,0.006375,0.136,0.032,0.228,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20292914,2.0,0.03204166666666667,0.296,0.14,1.716,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20292914,2.5,0.016583333333333332,0.188,0.052,0.6,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20292914,3.0,0.005791666666666666,0.144,0.016,0.156,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20300936,2.0,0.02525,0.272,0.08,0.96,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20300936,2.5,0.01325,0.184,0.056,0.48,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20300936,3.0,0.005958333333333334,0.132,0.016,0.1,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20308958,2.0,0.026833333333333334,0.252,0.124,1.592,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20308958,2.5,0.013583333333333333,0.196,0.06,0.664,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20308958,3.0,0.007333333333333333,0.14,0.02,0.272,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20316980,2.0,0.030916666666666665,0.308,0.144,1.696,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20316980,2.5,0.019,0.216,0.072,0.816,0.01286875,0.148,250,24000
