size,anchor,variant,implementation_mode,lambda_mem,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N192_M96,lambda,gain_only,gain_only_pSA,1.4,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.4,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.4,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
N288_M144,lambda,pSA,pSA,0.0,2.0,0.327515625,1.0,1.0,47.5885,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,pSA,pSA,0.0,2.5,0.32297743055555556,1.0,1.0,47.3305,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,pSA,pSA,0.0,3.0,0.31659895833333335,1.0,1.0,47.1185,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.0,2.0,0.327515625,1.0,1.0,47.5885,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.0,2.5,0.32297743055555556,1.0,1.0,47.3305,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.0,3.0,0.31659895833333335,1.0,1.0,47.1185,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.5,2.0,0.17037847222222222,0.776,0.7755,21.225,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.5,2.5,0.10955034722222222,0.5255,0.5255,13.9375,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.5,3.0,0.051666666666666666,0.256,0.256,6.696,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.8,2.0,0.019776041666666667,0.165,0.1635,0.7955,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.8,2.5,0.0038784722222222224,0.0345,0.033,0.153,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.8,3.0,0.00023958333333333332,0.003,0.0015,0.008,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.9,2.0,0.018503472222222223,0.165,0.1635,0.614,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.9,2.5,0.0033680555555555556,0.038,0.037,0.12,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.9,3.0,0.0003333333333333333,0.0055,0.0045,0.013,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.95,2.0,0.02046701388888889,0.195,0.193,0.6635,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.95,2.5,0.004791666666666666,0.057,0.0555,0.169,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,additive,lambda_pSA,0.95,3.0,0.0006770833333333334,0.0095,0.009,0.025,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.0,2.0,0.022173611111111113,0.2175,0.2155,0.708,0.010990972222222221,0.1402,2000,576000
