size,variant,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,18,25600,0.13541666666666666,1,19,0.3020833333333333,19,18.1612890625,0.0,0.072000732421875,0.05082921750641793,0.12338042623444567,0.5706144361070287,0.888031886781623,0.9439107161969736,0.5706144361070287,16.833125,0.3506901041666667,0.0,0.25044596354166665,0.05732421875,0.038248909965779,0.11441922736962512,0.6832755295960556,0.9022932861104019,0.9499381510416667,0.6832755295960556,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,19,25600,0.0625,1,16,0.20833333333333334,18,18.3655859375,0.0,0.07508707682291667,0.05313000523524929,0.1279424588897993,0.5605062298094328,0.8785662458126401,0.9375304957329373,0.5605062298094328,16.94140625,0.3529459635416667,0.0,0.24742350260416668,0.06034993489583333,0.04008460719939789,0.12198410819059646,0.673688591591102,0.8929333060090013,0.94390625,0.673688591591102,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,0,25600,0.1875,1,24,0.2916666666666667,18,18.6703125,0.0,0.07557698567708333,0.05672749397672793,0.11317839281710325,0.553471078307909,0.8769434701496196,0.9386845415584315,0.553471078307909,17.674375,0.36821614583333334,0.0,0.3015266927083333,0.0626220703125,0.044828879883861555,0.10383953102986662,0.6591058287372508,0.8887655123546785,0.943515625,0.6591058287372508,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,1,25600,0.11458333333333333,1,13,0.19791666666666666,11,17.975859375,0.0,0.071256103515625,0.05021823164964083,0.12260366892585287,0.5759542058968562,0.8906440194591169,0.9441113678595294,0.5759542058968562,16.56328125,0.345068359375,0.0,0.24446126302083335,0.05595703125,0.03702522851289431,0.11446509057741856,0.6938843549002053,0.9064557303623038,0.9512174479166666,0.6938843549002053,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,2,25600,0.0,0,0,0.0,0,13.854375,0.18316406249999995,0.05510416666666667,0.034652238770823546,0.1343476898298563,0.6628617073924216,0.9311198104261942,0.9596960672360285,0.6628617073924216,3.3934375,0.07069661458333333,0.73265625,0.03878255208333333,0.010017903645833333,0.005201833510848159,0.1293258945425563,0.9429814905109839,0.9874038310020945,0.9915283203125,0.9429814905109839,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,3,25600,0.0,0,0,0.0,0,9.851171875,0.4546875,0.04227213541666667,0.025027212399405713,0.13563148197443486,0.7347871560909308,0.956250482271974,0.9694944803082091,0.7347871560909308,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999971938431,0.9999999999999998,1.0,0.9999999971938431,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,4,25600,0.08333333333333333,1,16,0.15625,15,17.8809375,0.0,0.070836181640625,0.04913575298033249,0.12683182669123913,0.5777667251898216,0.8920986196602821,0.9449814099162307,0.5777667251898216,16.54625,0.3447135416666667,0.0,0.23075520833333332,0.055743815104166664,0.03622398781249008,0.12080967662305604,0.694877729957064,0.9071311394732244,0.951923828125,0.694877729957064,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,5,25600,0.09375,1,13,0.2708333333333333,22,18.1519140625,0.0,0.07313720703125,0.051775210150610096,0.1244829023667041,0.5674311358833974,0.8841646065339275,0.9402695644636242,0.5674311358833974,16.555,0.34489583333333335,0.0,0.24497721354166666,0.05735188802083333,0.037983224435155824,0.11704792340759147,0.6869436725948823,0.9019908892239469,0.9479703776041667,0.6869436725948823,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,6,25600,0.125,1,20,0.2916666666666667,22,18.3923828125,0.0,0.07376220703125,0.05326543794348437,0.11988219408880936,0.5616538875181579,0.8829429862596423,0.9412550610088363,0.5616538875181579,17.01828125,0.35454752604166667,0.0,0.2661995442708333,0.058767903645833335,0.040046578684706666,0.11037603179455824,0.6759826825063386,0.8979707486519932,0.9475472005208333,0.6759826825063386,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,7,25600,0.11458333333333333,1,19,0.28125,19,18.376015625,0.0,0.07400838216145833,0.05269712597482903,0.12424304103185477,0.5618533888380857,0.8822600642331929,0.9405970813750151,0.5618533888380857,17.03765625,0.354951171875,0.0,0.25243977864583333,0.0594921875,0.03979290359523016,0.11782948735307582,0.6771555615505463,0.8972992154517204,0.946982421875,0.6771555615505463,0.0,0.0
