size,EbNo_dB,control,reference,metric,contrast_definition,mean_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,n_paired_trajectories
N192_M96,2.5,gain_only,additive,late_backflip_rate,control_minus_additive,-0.0003627425952413731,0.0003374648706431092,0.00010671576215263161,-0.0006041336492306258,-0.00012135154125212039,10,200
N192_M96,2.5,gain_only,additive,late_bit_flip_rate,control_minus_additive,-0.0006208875868055555,0.0005703770954089747,0.0001803690746683529,-0.0010288824337053699,-0.00021289273990574123,10,200
N192_M96,2.5,gain_only,additive,late_q_lag1_cosine,control_minus_additive,0.001342227768442604,0.0012519394652082535,0.00039589802027112077,0.0004467064465893287,0.002237749090295879,10,200
N192_M96,2.5,gain_only,additive,late_q_lag1_product,control_minus_additive,0.004086432120602731,0.003746735630120991,0.0011848218381688505,0.0014063651226647912,0.006766499118540671,10,200
N192_M96,2.5,gain_only,additive,late_q_sign_persistence,control_minus_additive,0.0015325954861111109,0.0013880734041257848,0.00043894735165408435,0.000539696576669572,0.0025254943955526498,10,200
N192_M96,2.5,gain_only,additive,late_repair_rate,control_minus_additive,-0.037126686485369896,0.009600526587029984,0.0036286579720778626,-0.04600601254304443,-0.028247360427695364,7,13
N192_M96,2.5,gain_only,additive,late_state_BER,control_minus_additive,0.48920823025173615,0.010923805919243166,0.003454410742243777,0.48139435315278073,0.4970221073506916,10,200
N192_M96,2.5,gain_only,additive,late_syndrome_weight_fraction,control_minus_additive,-0.004420779079861111,0.0039093271064081034,0.0012362377774885038,-0.007217148932540107,-0.0016244092271821158,10,200
N192_M96,2.5,gain_only,additive,late_syndrome_zero_fraction,control_minus_additive,0.05500000000000001,0.049721446300587654,0.015723301886761003,0.019433891132146615,0.0905661088678534,10,200
N192_M96,2.5,normalized,additive,decoded_BER,control_minus_additive,0.3065885416666667,0.011633272364085295,0.0036787637311601114,0.29826717810678255,0.3149099052265509,10,200
N192_M96,2.5,normalized,additive,decoded_FER,control_minus_additive,0.9349999999999999,0.05797509043642028,0.01833333333333333,0.8935299999999999,0.97647,10,200
N192_M96,2.5,normalized,additive,late_backflip_rate,control_minus_additive,0.13863648057358438,0.0005868247002372675,0.00018557026399953168,0.13821672063641743,0.13905624051075133,10,200
N192_M96,2.5,normalized,additive,late_bit_flip_rate,control_minus_additive,0.18286468641493056,0.0006023929426633812,0.00019049337452275015,0.1824337904017601,0.183295582428101,10,200
N192_M96,2.5,normalized,additive,late_q_lag1_cosine,control_minus_additive,-0.3768097274136632,0.0015432192401794408,0.0004880087727961466,-0.3779136032577281,-0.3757058515695983,10,200
N192_M96,2.5,normalized,additive,late_q_lag1_product,control_minus_additive,-0.5947168135282526,0.0036117342212578867,0.0011421306442349452,-0.597300313045512,-0.5921333140109931,10,200
N192_M96,2.5,normalized,additive,late_q_sign_persistence,control_minus_additive,-0.14969600694444446,0.0014406234668238997,0.000455565140585154,-0.15072649529244808,-0.14866551859644084,10,200
N192_M96,2.5,normalized,additive,late_repair_rate,control_minus_additive,0.2239188717218623,0.008845874651271514,0.0033434263508735195,0.21573750744127482,0.2321002360024498,7,13
