size,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,actual_rate,scope,EbNo_dB,pSA_BER,additive_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,log10_BER_ratio_continuity_corrected,pSA_FER,additive_FER,absolute_FER_reduction,relative_FER_reduction,pSA_syndrome_violation_rate,additive_syndrome_violation_rate,pSA_avg_syndrome_weight,additive_avg_syndrome_weight,BER_additive_better,FER_additive_better,BER_tie,FER_tie,pSA_bit_errors,additive_bit_errors,pSA_frame_errors,additive_frame_errors,n_trials_per_mode,n_bits_per_mode,parameter_transfer_policy
N192_M96,new_09,new,2026082709,ac816bd97c2b921526a9e4685f619835e38d4e341456d542de1acf214eaf5cbe,96,0.5,per_EbNo,3.0,0.25953645833333333,0.00075,0.25878645833333336,0.9971102325861413,-2.53913711051077,-2.5376361131653473,1.0,0.007,0.993,0.993,1.0,0.007,19.729,0.012,1,1,0,0,49831,144,1000,7,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_09,new,2026082709,ac816bd97c2b921526a9e4685f619835e38d4e341456d542de1acf214eaf5cbe,96,0.5,pooled_across_EbNo,,0.28215625,0.007333333333333333,0.27482291666666664,0.9740096725366411,-1.5851882486008022,-1.5851381797867028,1.0,0.056666666666666664,0.9433333333333334,0.9433333333333334,1.0,0.052,20.678,0.08866666666666667,1,1,0,0,162522,4224,3000,170,3000,576000,fixed_size_specific_no_code_retuning
N288_M144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,per_EbNo,2.0,0.3270972222222222,0.0184375,0.3086597222222222,0.9436329667530041,-1.2489748226991566,-1.2489362356737668,1.0,0.163,0.837,0.837,1.0,0.162,47.512,0.638,1,1,0,0,94204,5310,1000,163,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,per_EbNo,2.5,0.32389236111111114,0.004131944444444444,0.3197604166666667,0.9872428468820018,-1.8942462318130815,-1.8940661213413335,1.0,0.04,0.96,0.96,1.0,0.039,47.429,0.158,1,1,0,0,93281,1190,1000,40,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,per_EbNo,3.0,0.31739236111111113,0.0006111111111111111,0.31678125,0.9980745878414597,-2.7154762900412432,-2.7142466236815204,1.0,0.009,0.991,0.991,1.0,0.007,47.265,0.02,1,1,0,0,91409,176,1000,9,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,pooled_across_EbNo,,0.3227939814814815,0.007726851851851852,0.3150671296296296,0.9760625900879905,-1.6209228431433123,-1.6208910964129555,1.0,0.07066666666666667,0.9293333333333333,0.9293333333333333,1.0,0.06933333333333333,47.402,0.272,1,1,0,0,278894,6676,3000,212,3000,864000,fixed_size_specific_no_code_retuning
N288_M144,new_01,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,144,0.5,per_EbNo,2.0,0.3281076388888889,0.018149305555555554,0.30995833333333334,0.9446849039631726,-1.2571563292595769,-1.257117085837526,1.0,0.171,0.829,0.829,1.0,0.166,47.629,0.621,1,1,0,0,94495,5227,1000,171,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_01,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,144,0.5,per_EbNo,2.5,0.3220451388888889,0.004847222222222222,0.3171979166666667,0.9849486247830165,-1.8224238175544087,-1.8222706370336041,1.0,0.048,0.952,0.952,1.0,0.045,47.511,0.158,1,1,0,0,92749,1396,1000,48,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_01,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,144,0.5,per_EbNo,3.0,0.3167534722222222,0.0009513888888888889,0.3158020833333333,0.9969964373801041,-2.522363309216298,-2.5215739035919933,1.0,0.016,0.984,0.984,1.0,0.012,47.529,0.028,1,1,0,0,91225,274,1000,16,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_01,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,144,0.5,pooled_across_EbNo,,0.3223020833333333,0.007982638888888888,0.31431944444444443,0.9752324316171639,-1.6061166292540592,-1.6060859258807165,1.0,0.07833333333333334,0.9216666666666666,0.9216666666666666,1.0,0.07433333333333333,47.556333333333335,0.269,1,1,0,0,278469,6897,3000,235,3000,864000,fixed_size_specific_no_code_retuning
N288_M144,new_02,new,2026082702,b5ae731d9748c18e1ba1efed8b6476151140a66616957e249fe7246155aebfca,144,0.5,per_EbNo,2.0,0.32817708333333334,0.01810763888888889,0.31006944444444445,0.9448235729778343,-1.2582464259082584,-1.258207086415512,1.0,0.168,0.832,0.832,1.0,0.167,47.435,0.637,1,1,0,0,94515,5215,1000,168,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_02,new,2026082702,b5ae731d9748c18e1ba1efed8b6476151140a66616957e249fe7246155aebfca,144,0.5,per_EbNo,2.5,0.32347916666666665,0.004430555555555556,0.3190486111111111,0.986303428436487,-1.8633881290030503,-1.863220315098038,1.0,0.045,0.955,0.955,1.0,0.045,47.426,0.168,1,1,0,0,93162,1276,1000,45,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_02,new,2026082702,b5ae731d9748c18e1ba1efed8b6476151140a66616957e249fe7246155aebfca,144,0.5,per_EbNo,3.0,0.3169444444444444,0.0004930555555555556,0.31645138888888885,0.9984443470639789,-2.8080872870271016,-2.8065631459727967,1.0,0.008,0.992,0.992,1.0,0.007,47.17,0.022,1,1,0,0,91280,142,1000,8,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_02,new,2026082702,b5ae731d9748c18e1ba1efed8b6476151140a66616957e249fe7246155aebfca,144,0.5,pooled_across_EbNo,,0.3228668981481482,0.0076770833333333335,0.31518981481481484,0.9762221417637844,-1.6238272665416849,-1.6237953087902413,1.0,0.07366666666666667,0.9263333333333333,0.9263333333333333,1.0,0.073,47.343666666666664,0.27566666666666667,1,1,0,0,278957,6633,3000,221,3000,864000,fixed_size_specific_no_code_retuning
N288_M144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,per_EbNo,2.0,0.330375,0.017152777777777777,0.3132222222222222,0.9480808845167528,-1.2846727149753507,-1.2846310424673744,1.0,0.154,0.846,0.846,1.0,0.153,47.552,0.594,1,1,0,0,95148,4940,1000,154,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,per_EbNo,2.5,0.3234375,0.004347222222222222,0.31909027777777776,0.9865593129361245,-1.8715785303578505,-1.871407455843361,1.0,0.044,0.956,0.956,1.0,0.043,47.426,0.148,1,1,0,0,93150,1252,1000,44,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,per_EbNo,3.0,0.31597569444444445,0.0004965277777777778,0.3154791666666667,0.9984285886968276,-2.8037101272966436,-2.802196649892334,1.0,0.008,0.992,0.992,1.0,0.008,47.407,0.015,1,1,0,0,91001,143,1000,8,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,pooled_across_EbNo,,0.3232627314814815,0.007332175925925926,0.31593055555555555,0.9773182145299482,-1.6443227615396925,-1.644289262977841,1.0,0.06866666666666667,0.9313333333333333,0.9313333333333333,1.0,0.068,47.461666666666666,0.25233333333333335,1,1,0,0,279299,6335,3000,206,3000,864000,fixed_size_specific_no_code_retuning
N288_M144,new_04,new,2026082704,9c8e14e8785a97472dbb8e9843ab81fa4c2ac5a0d5a5d4dfae37e4dc6bd50002,144,0.5,per_EbNo,2.0,0.3283888888888889,0.018385416666666668,0.31000347222222224,0.9440132803248181,-1.2519149775613083,-1.2518762656331575,1.0,0.168,0.832,0.832,1.0,0.167,47.54,0.643,1,1,0,0,94576,5295,1000,168,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_04,new,2026082704,9c8e14e8785a97472dbb8e9843ab81fa4c2ac5a0d5a5d4dfae37e4dc6bd50002,144,0.5,per_EbNo,2.5,0.3213888888888889,0.003954861111111111,0.3174340277777778,0.9876944684528954,-1.9098996218645927,-1.9097113624369622,1.0,0.041,0.959,0.959,1.0,0.041,47.532,0.143,1,1,0,0,92560,1139,1000,41,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_04,new,2026082704,9c8e14e8785a97472dbb8e9843ab81fa4c2ac5a0d5a5d4dfae37e4dc6bd50002,144,0.5,per_EbNo,3.0,0.3167534722222222,0.0004965277777777778,0.31625694444444447,0.9984324472458208,-2.804777834571624,-2.803264351308093,1.0,0.006,0.994,0.994,1.0,0.006,47.437,0.025,1,1,0,0,91225,143,1000,6,1000,288000,fixed_size_specific_no_code_retuning
N288_M144,new_04,new,2026082704,9c8e14e8785a97472dbb8e9843ab81fa4c2ac5a0d5a5d4dfae37e4dc6bd50002,144,0.5,pooled_across_EbNo,,0.32217708333333334,0.007612268518518518,0.3145648148148148,0.9763724084911319,-1.6265805461508953,-1.6265483113438963,1.0,0.07166666666666667,0.9283333333333333,0.9283333333333333,1.0,0.07133333333333333,47.503,0.2703333333333333,1,1,0,0,278361,6577,3000,215,3000,864000,fixed_size_specific_no_code_retuning
