size,scope,EbNo_dB,comparison,method,comparator,n_code_realizations,bootstrap_unit,bootstrap_samples,BER_method_better_count,BER_comparator_better_count,BER_tie_count,mean_relative_BER_reduction,median_relative_BER_reduction,relative_BER_reduction_sd_between_codes,mean_relative_BER_reduction_bootstrap_ci95_low,mean_relative_BER_reduction_bootstrap_ci95_high,median_relative_BER_reduction_bootstrap_ci95_low,median_relative_BER_reduction_bootstrap_ci95_high,mean_method_BER,mean_comparator_BER,FER_method_better_count,FER_comparator_better_count,FER_tie_count,mean_relative_FER_reduction,median_relative_FER_reduction,relative_FER_reduction_sd_between_codes,mean_relative_FER_reduction_bootstrap_ci95_low,mean_relative_FER_reduction_bootstrap_ci95_high,median_relative_FER_reduction_bootstrap_ci95_low,median_relative_FER_reduction_bootstrap_ci95_high,mean_method_FER,mean_comparator_FER
N288_M144,per_EbNo,3.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.9697021995942876,0.9699421591174273,0.002342824994717366,0.9683287297533565,0.9710787542260816,0.9678796814850488,0.9713245072475798,0.009603125,0.3169423611111111,10,0,0,0.8674,0.868,0.010710327311110119,0.8610999999999999,0.8737999999999999,0.862,0.872,0.13260000000000002,1.0
N288_M144,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.976242857876443,0.9761423659258874,0.000917658247791466,0.9757203165097345,0.9767885504241106,0.9755820055749291,0.9769844711481602,0.00766400462962963,0.32260185185185186,10,0,0,0.9282666666666668,0.9285,0.0031614967544495616,0.9263,0.9300333333333333,0.9263333333333333,0.9313333333333333,0.07173333333333333,1.0
N288_M144,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.8122261688341972,0.8110456256463503,0.006755586066584664,0.808300438937049,0.8161859050597928,0.8066021214188066,0.8183907290369176,0.00766400462962963,0.040814467592592586,10,0,0,0.8244406347899984,0.8255739908727492,0.008170583195327052,0.8192156173323664,0.8287386031802133,0.8208232445520581,0.8299567801188547,0.07173333333333333,0.4086666666666666
N288_M144,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.8734828870700291,0.8734458489618016,0.0015796437459951408,0.8725147982613168,0.8743579376006353,0.872522394859855,0.8750349595186703,0.040814467592592586,0.32260185185185186,10,0,0,0.5913333333333334,0.5920000000000001,0.005452375176171221,0.588,0.5944666666666667,0.587,0.5966666666666667,0.4086666666666666,1.0
N96_M48,per_EbNo,2.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.5807703962878203,0.5803107574420688,0.020116987445258104,0.5691026845681904,0.5925424846632008,0.5647715005397625,0.5969722891585976,0.024629166666666667,0.058699999999999995,10,0,0,0.6231164795002841,0.6237816764132553,0.03874335146180148,0.5985573219519148,0.6439222375234896,0.6074918740721491,0.6507936507936508,0.1969,0.5209000000000001
N96_M48,per_EbNo,2.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.3401281598652086,0.3328965614168542,0.0393617525408154,0.3177300293671317,0.3636437441621771,0.3073846014281974,0.373171961674231,0.024629166666666667,0.03734791666666667,10,0,0,0.4135973095329947,0.4111532204723002,0.04972670389523728,0.38444365594427393,0.4429690797295724,0.3758562826966736,0.4529725459213905,0.1969,0.3352
N96_M48,per_EbNo,2.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.36400008321159466,0.36332418634156144,0.02105228957103778,0.3509392539037352,0.37560826631928335,0.35493810191702513,0.378222037746844,0.03734791666666667,0.058699999999999995,10,0,0,0.357275418991594,0.3535131588484148,0.03472087367527037,0.33663393833311206,0.37701870690505884,0.330408040533971,0.39087301587301587,0.3352,0.5209000000000001
N96_M48,per_EbNo,2.5,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.6090603816236515,0.6022722596599448,0.025552251760277096,0.5949282090951872,0.6244115928926504,0.5935203740814964,0.6259062249930849,0.012365625,0.03163020833333333,10,0,0,0.6376547358456686,0.6446369353916523,0.042314311423719275,0.6100906678290876,0.6594869564421924,0.6226655892463189,0.663625304136253,0.10669999999999999,0.29279999999999995
N96_M48,per_EbNo,2.5,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.3535589854060158,0.3358244073292723,0.05017117020198977,0.3252399206339317,0.38351729041271215,0.3087056128293241,0.40363269424823406,0.012365625,0.019181249999999997,10,0,0,0.4216217422574867,0.4148642429820525,0.05099327415138347,0.3929931780524887,0.4524342573496244,0.37572254335260113,0.4699453551912568,0.10669999999999999,0.184
N96_M48,per_EbNo,2.5,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.39383579245383127,0.4027183161994746,0.035436471376421995,0.3721938317889928,0.41376192039244103,0.36478665851763736,0.42176714412172844,0.019181249999999997,0.03163020833333333,10,0,0,0.373080901451103,0.3793674003386178,0.049803654737394516,0.3425203482776817,0.4001295586320747,0.34047348484848483,0.41970802919708033,0.184,0.29279999999999995
N96_M48,per_EbNo,3.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.6309757807990648,0.6494727488393137,0.05093363810553773,0.5999913564368464,0.6585855120109851,0.5766871165644172,0.6724008975317876,0.0050750000000000005,0.013862499999999996,10,0,0,0.6141756909206179,0.6383464656845952,0.07103015826606657,0.5685247251375218,0.6510782610484566,0.573063756953359,0.6654411764705883,0.054200000000000005,0.1376
N96_M48,per_EbNo,3.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.4217077220589761,0.44494801947624685,0.09430972996986253,0.36133440141173545,0.4712884957939173,0.36964980544747084,0.48249027237354086,0.0050750000000000005,0.008922916666666666,10,0,0,0.4447624811572437,0.45090326340326337,0.0971627111092839,0.3856011330713673,0.4994345075896597,0.3626028059990324,0.5111111111111111,0.054200000000000005,0.0967
N96_M48,per_EbNo,3.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.35552701733477204,0.3359151373306886,0.08017637984146377,0.30709488214068204,0.4019607450916871,0.3061728395061728,0.4330535334760103,0.008922916666666666,0.013862499999999996,10,0,0,0.3004821751293295,0.2766599597585513,0.08612047437647817,0.25172781491867113,0.35192845240112325,0.23684210526315796,0.35609243697479,0.0967,0.1376
N96_M48,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.5962786719777833,0.5990431398851295,0.017586325844934834,0.585397443818428,0.6061864161390671,0.5836658060323079,0.6113968319275869,0.014023263888888887,0.03473090277777778,10,0,0,0.6261885077477687,0.6269945355191257,0.04076866251478851,0.5989156649006586,0.6461491714550112,0.6225316258698503,0.6515022199624105,0.11926666666666667,0.31710000000000005
N96_M48,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.35613089278627713,0.3545539900163743,0.03667692727241302,0.33431687209451577,0.37721718484873934,0.32292287022721206,0.3882977628094201,0.014023263888888887,0.02181736111111111,10,0,0,0.421301345179388,0.427996784032466,0.04792727221785366,0.3927093410655186,0.4492456554155277,0.3884221525600836,0.451228337942182,0.11926666666666667,0.20530000000000004
N96_M48,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.372193359591496,0.3729144867310433,0.023502332573702576,0.3586623592064602,0.38593391795401233,0.3497680113717119,0.3924517104477031,0.02181736111111111,0.03473090277777778,10,0,0,0.35421949018229626,0.36065940168133837,0.0371673101154501,0.33131152011294224,0.3752749687863813,0.32928176795580116,0.38469945355191254,0.20530000000000004,0.31710000000000005
