size,code_id,public_code_id,realization_type,generation_seed,matrix_sha256,scope,EbNo_dB,comparison,method,comparator,method_BER,comparator_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,BER_method_better,BER_comparator_better,BER_tie,method_FER,comparator_FER,absolute_FER_reduction,relative_FER_reduction,log10_FER_ratio,FER_method_better,FER_comparator_better,FER_tie,bootstrap_unit
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,per_EbNo,3.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.008197916666666666,0.013927083333333333,0.005729166666666667,0.4113687359760659,-0.23015667490291983,1,0,0,0.088,0.136,0.048000000000000015,0.3529411764705883,-0.18905623622004894,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.014135416666666666,0.021399305555555557,0.007263888888888891,0.3394450754502678,-0.18009106535127592,1,0,0,0.12133333333333333,0.203,0.08166666666666668,0.40229885057471265,-0.2235159089838194,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.014135416666666666,0.03487152777777778,0.020736111111111115,0.5946430349497163,-0.3921623603131245,1,0,0,0.12133333333333333,0.325,0.20366666666666666,0.6266666666666666,-0.42790323204948083,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.021399305555555557,0.03487152777777778,0.013472222222222222,0.3863387434033655,-0.2120712949618486,1,0,0,0.203,0.325,0.122,0.37538461538461537,-0.2043873230656614,1,0,0,independent_code_realization
N96_M48,new_03,C03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,per_EbNo,2.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.027208333333333334,0.038177083333333334,0.01096875,0.28731241473396996,-0.1471008063741104,1,0,0,0.212,0.33,0.11800000000000002,0.3575757575757576,-0.1921780789491361,1,0,0,independent_code_realization
N96_M48,new_03,C03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,per_EbNo,2.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.027208333333333334,0.060322916666666664,0.03311458333333333,0.5489552754273873,-0.34578039233033764,1,0,0,0.212,0.527,0.31500000000000006,0.5977229601518027,-0.39547475428379525,1,0,0,independent_code_realization
N96_M48,new_03,C03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,per_EbNo,2.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.038177083333333334,0.060322916666666664,0.02214583333333333,0.36712139526852006,-0.19867958595622717,1,0,0,0.33,0.527,0.197,0.3738140417457306,-0.20329667533465912,1,0,0,independent_code_realization
N96_M48,new_03,C03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,per_EbNo,2.5,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.011302083333333334,0.019729166666666666,0.008427083333333332,0.4271383315733896,-0.24195023648270622,1,0,0,0.097,0.183,0.086,0.4699453551912568,-0.2756793554641846,1,0,0,independent_code_realization
N96_M48,new_03,C03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,per_EbNo,2.5,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.011302083333333334,0.031885416666666666,0.020583333333333332,0.6455406729826854,-0.45043359141278627,1,0,0,0.097,0.288,0.19099999999999998,0.6631944444444444,-0.472620753492986,1,0,0,independent_code_realization
N96_M48,new_03,C03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,per_EbNo,2.5,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.019729166666666666,0.031885416666666666,0.01215625,0.38124795818360013,-0.20848335493008002,1,0,0,0.183,0.288,0.10499999999999998,0.3645833333333333,-0.19694139802880134,1,0,0,independent_code_realization
