size,code_id,public_code_id,realization_type,generation_seed,matrix_sha256,scope,EbNo_dB,comparison,method,comparator,method_BER,comparator_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,BER_method_better,BER_comparator_better,BER_tie,method_FER,comparator_FER,absolute_FER_reduction,relative_FER_reduction,log10_FER_ratio,FER_method_better,FER_comparator_better,FER_tie,bootstrap_unit
N192_M96,new_01,C01,new,2026082701,a28501c1d8835679c90f0a33ec7ba676312b6ce805367a8e5c204e0a460d7be6,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.030585069444444446,0.28172569444444445,0.251140625,0.8914367058185538,-0.9643169871692577,1,0,0,0.3253333333333333,1.0,0.6746666666666667,0.6746666666666667,-0.48767143705297067,1,0,0,independent_code_realization
N192_M96,new_02,C02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.0068628472222222224,0.02982638888888889,0.022963541666666667,0.769906868451688,-0.6380963451522529,1,0,0,0.05633333333333333,0.318,0.26166666666666666,0.8228511530398323,-0.7516616700904215,1,0,0,independent_code_realization
N192_M96,new_02,C02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.0068628472222222224,0.28081770833333336,0.2739548611111111,0.9755612020945774,-1.6119201599630806,1,0,0,0.05633333333333333,1.0,0.9436666666666667,0.9436666666666667,-1.249234550105989,1,0,0,independent_code_realization
N192_M96,new_02,C02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.02982638888888889,0.28081770833333336,0.25099131944444447,0.8937873645294311,-0.9738238148108278,1,0,0,0.318,1.0,0.6819999999999999,0.6819999999999999,-0.4975728800155673,1,0,0,independent_code_realization
N192_M96,new_03,C03,new,2026082703,924f74a70ff047ebedd6490567a93066821aa10bf5eb5c79721b228b12ecc7ae,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.006751736111111111,0.029946180555555556,0.023194444444444445,0.7745376543567744,-0.646925979040347,1,0,0,0.05466666666666667,0.312,0.2573333333333333,0.8247863247863247,-0.7564320006904073,1,0,0,independent_code_realization
N192_M96,new_03,C03,new,2026082703,924f74a70ff047ebedd6490567a93066821aa10bf5eb5c79721b228b12ecc7ae,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.006751736111111111,0.28261284722222224,0.2758611111111111,0.9761095924071628,-1.6217764407143325,1,0,0,0.05466666666666667,0.9996666666666667,0.9450000000000001,0.9453151050350117,-1.2621326177118293,1,0,0,independent_code_realization
N192_M96,new_03,C03,new,2026082703,924f74a70ff047ebedd6490567a93066821aa10bf5eb5c79721b228b12ecc7ae,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.029946180555555556,0.28261284722222224,0.2526666666666667,0.894038148478054,-0.9748504616739854,1,0,0,0.312,0.9996666666666667,0.6876666666666666,0.6878959653217739,-0.5057006170214219,1,0,0,independent_code_realization
N192_M96,new_04,C04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.007828125,0.03037326388888889,0.022545138888888892,0.7422692197770793,-0.5888337115123546,1,0,0,0.07166666666666667,0.32666666666666666,0.255,0.7806122448979592,-0.6587876157768895,1,0,0,independent_code_realization
N192_M96,new_04,C04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.007828125,0.2825138888888889,0.2746857638888889,0.972291185290792,-1.557382051491685,1,0,0,0.07166666666666667,1.0,0.9283333333333333,0.9283333333333333,-1.144682794804057,1,0,0,independent_code_realization
N192_M96,new_04,C04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.03037326388888889,0.2825138888888889,0.252140625,0.8924893073103584,-0.9685483399793302,1,0,0,0.32666666666666666,1.0,0.6733333333333333,0.6733333333333333,-0.4858951790271676,1,0,0,independent_code_realization
N192_M96,new_05,C05,new,2026082705,4ea281262c622c70d76661938eab2d916f7694f1bf7dea299149da971f273678,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.006279513888888889,0.030784722222222224,0.024505208333333334,0.7960184976314009,-0.6904092138656772,1,0,0,0.05266666666666667,0.322,0.2693333333333333,0.836438923395445,-0.7863200394610708,1,0,0,independent_code_realization
N192_M96,new_05,C05,new,2026082705,4ea281262c622c70d76661938eab2d916f7694f1bf7dea299149da971f273678,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.006279513888888889,0.283359375,0.27707986111111116,0.977839046656251,-1.6544115605941583,1,0,0,0.05266666666666667,1.0,0.9473333333333334,0.9473333333333334,-1.2784641677652397,1,0,0,independent_code_realization
