stage,alpha,kw,rho,formula_index,formula_sha256,is_satisfiable,baseline_mean_selected_unsat_rate,treatment_mean_selected_unsat_rate,difference_treatment_minus_baseline_selected_rate,difference_treatment_minus_baseline_final_rate,difference_treatment_minus_baseline_success,difference_treatment_minus_baseline_convergence_cycle,difference_treatment_minus_baseline_objective
A,1.2,4.0,0.04,13,5358efb19444e9ca1337e6a91cac0a0bf19f0ba41f94a8206eb8d4b1c5c7f667,False,0.004050000000000001,0.004016666666666667,-3.3333333333334e-05,0.00028333333333333335,,84.63,-5.123333333334132e-06
A,1.2,4.0,0.04,14,70044a0a96d5238e57f750b24ae3f8095e82b3c8e1597a9bb56d17aad082b75d,False,0.0029666666666666665,0.00305,8.33333333333337e-05,0.00020000000000000052,,34.629999999999995,9.4876666666667e-05
A,1.2,4.0,0.04,15,3e7878f410def7d62f3dd65ddc530b8cda7bf923e8974170752484b08bc1611c,False,0.0018666666666666669,0.0019166666666666666,4.99999999999997e-05,0.00028333333333333335,,96.91999999999996,8.230666666666619e-05
A,1.2,4.0,0.04,16,651f6d237eb3f6c3c19c627b8f42e468443477ff75012b18d2c14fbbfd2c2edf,True,0.0016666666666666668,0.0016666666666666668,0.0,0.0004166666666666659,0.0,9.600000000000023,3.2000000000000778e-06
A,1.2,4.0,0.04,17,df751b4a39788cd788947a4faf6dad7b2d2a191912bdc7f5a2a5d932b755cbc1,False,0.0033333333333333335,0.0033333333333333335,0.0,0.0007166666666666675,,53.93999999999994,1.7979999999999906e-05
A,1.2,4.0,0.04,18,309a3f0b179914fc4d44542f7a5fa7a25100dc46b126999d83a5a8c4f4dfb1a2,False,0.0016666666666666668,0.0016666666666666668,0.0,0.0005166666666666653,,46.45999999999998,1.5486666666666635e-05
A,1.2,4.0,0.04,19,6ca2d893d357e6222af6d6744d455a09287e8f432ee4569741dc22fd147e637f,True,0.0011,0.00125,0.00014999999999999996,0.0015833333333333333,-0.09000000000000002,6.25,0.009152083333333349
A,1.2,4.0,0.04,20,c5841a04765dfc844d644a881f22c1ab9b87ad797f42f244210a24d2b49b2246,True,4.9999999999999996e-05,3.3333333333333335e-05,-1.666666666666666e-05,-3.333333333333335e-05,0.010000000000000009,-30.549999999999955,-0.0010268500000000097
A,1.2,4.0,0.04,21,8f8adb312a98d2375b54828fbabff59932b9ea3e3906870a085ebb707bd7689b,True,0.0015500000000000002,0.0015,-5.000000000000013e-05,9.99999999999994e-05,0.020000000000000004,34.55000000000007,-0.0020384833333333364
A,1.2,4.0,0.04,22,aa999d8a05a6521a5c6b2f035f876034928828a6f6c1f9b28f4eca4dbf40ef08,False,0.003833333333333333,0.00385,1.6666666666667e-05,0.000516666666666667,,49.870000000000005,3.3290000000000056e-05
A,1.2,4.0,0.04,23,27f8863b01a77516c42eeb40dac09aa0a14207dcb396d706bb21bfb99cbbfb9f,True,0.0016166666666666666,0.0016666666666666668,5.000000000000013e-05,0.0009000000000000015,-0.019999999999999997,-1.4500000000000455,0.0020495166666666667
A,1.2,4.0,0.04,24,3894bb0653e690843f3c6cd71b0b1c91a18996e24743aff1d3a356df14743dc9,False,0.00205,0.002116666666666667,6.66666666666667e-05,6.6666666666668e-05,,57.710000000000036,8.590333333333361e-05
