size,initialization,variant,seed,n_trajectories,initial_BER_mean,initial_BER_n,initial_syndrome_weight_fraction_mean,initial_syndrome_weight_fraction_n,initial_channel_alignment_mean,initial_channel_alignment_n,initial_hard_channel_disagreement_rate_mean,initial_hard_channel_disagreement_rate_n,decoded_BER_mean,decoded_BER_n,decoded_FER_mean,decoded_FER_n,decoded_syndrome_weight_mean,decoded_syndrome_weight_n,final_state_BER_mean,final_state_BER_n,mean_state_BER_mean,mean_state_BER_n,late_state_BER_mean,late_state_BER_n,mean_syndrome_weight_fraction_mean,mean_syndrome_weight_fraction_n,late_syndrome_weight_fraction_mean,late_syndrome_weight_fraction_n,mean_bit_flip_rate_mean,mean_bit_flip_rate_n,late_bit_flip_rate_mean,late_bit_flip_rate_n,mean_backflip_rate_mean,mean_backflip_rate_n,late_backflip_rate_mean,late_backflip_rate_n,mean_channel_alignment_mean,mean_channel_alignment_n,late_channel_alignment_mean,late_channel_alignment_n,reached_correct_mean,reached_correct_n,first_correct_cycle_mean,first_correct_cycle_n,correct_residence_fraction_mean,correct_residence_fraction_n,correct_escape_probability_mean,correct_escape_probability_n,correct_return_probability_mean,correct_return_probability_n,correct_mean_return_time_mean,correct_mean_return_time_n
N288_M144,channel_hard,gain_only,20268848,20,0.09496527777777777,20,0.3538194444444444,20,0.8099806586242486,20,0.0,20,0.32274305555555555,20,1.0,20,47.35,20,0.33993055555555557,20,0.3409339057074653,20,0.34144745551215283,20,0.45116175672743053,20,0.45131342230902777,20,0.2301682874891493,20,0.23040923394097224,20,0.17466091012832088,20,0.17497691031066503,20,0.314878496791518,20,0.31392828696817476,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,gain_only,20276870,20,0.09340277777777778,20,0.35416666666666663,20,0.8091930082448832,20,0.0,20,0.325,20,1.0,20,46.5,20,0.33906249999999993,20,0.3394115600585938,20,0.33955769856770834,20,0.4508202175564236,20,0.45059120008680564,20,0.22986237928602432,20,0.22979421657986107,20,0.1740311827542047,20,0.17401659814059328,20,0.31613494556331345,20,0.31582916615210443,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,gain_only,20284892,20,0.09027777777777778,20,0.34513888888888883,20,0.814339607447155,20,0.0,20,0.3130208333333334,20,1.0,20,46.25,20,0.35225694444444444,20,0.33930756293402775,20,0.3396881781684028,20,0.4506764594184027,20,0.4506592339409723,20,0.2294816419813368,20,0.22955414496527782,20,0.17369938113245198,20,0.17385119341369654,20,0.31843370733833465,20,0.3177294471680078,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,gain_only,20292914,20,0.09583333333333334,20,0.3604166666666667,20,0.8066498060507963,20,0.0,20,0.33871527777777777,20,1.0,20,47.35,20,0.34114583333333337,20,0.3420273640950521,20,0.3422850748697916,20,0.4513367919921875,20,0.45141118706597216,20,0.2304562377929687,20,0.23057324218750003,20,0.17517335353285318,20,0.1753280719657744,20,0.31336776630280594,20,0.31268088156776813,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,gain_only,20300936,20,0.08871527777777778,20,0.3413194444444444,20,0.8062384082866183,20,0.0,20,0.31875,20,1.0,20,46.7,20,0.34704861111111107,20,0.33984523518880205,20,0.34024590386284725,20,0.45122804090711793,20,0.45144753689236117,20,0.2302894151475694,20,0.23063772243923614,20,0.17445271122741876,20,0.17482050490841244,20,0.3145228310075026,20,0.31394493885851193,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,gain_only,20308958,20,0.09513888888888887,20,0.36111111111111116,20,0.8084384904009975,20,0.0,20,0.3060763888888889,20,1.0,20,46.95,20,0.34131944444444445,20,0.3409558851453992,20,0.34106423611111114,20,0.4511271565755209,20,0.45080457899305565,20,0.23014596896701392,20,0.22990907118055554,20,0.17464817027224386,20,0.17449575188594266,20,0.31493624957096955,20,0.3147090090466054,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,gain_only,20316980,20,0.09166666666666667,20,0.3631944444444445,20,0.8082626671606207,20,0.0,20,0.3197916666666667,20,1.0,20,47.3,20,0.3524305555555556,20,0.3415003255208334,20,0.34163378906249997,20,0.45148977322048617,20,0.45142252604166677,20,0.23046430121527775,20,0.23049210611979168,20,0.17502789933854815,20,0.17508396857281014,20,0.31373551795759647,20,0.3133219767410121,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,gain_only,20325002,20,0.09079861111111111,20,0.3496527777777777,20,0.8127899079373122,20,0.0,20,0.3168402777777778,20,1.0,20,47.05,20,0.34479166666666666,20,0.3387822401258681,20,0.3389998101128472,20,0.45059667968749995,20,0.45034771050347217,20,0.22948009575737852,20,0.22936669921875003,20,0.17356317144377614,20,0.17353348032793786,20,0.3179866611272995,20,0.31766940808485006,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,gain_only,20333024,20,0.096875,20,0.35,20,0.8131595581772663,20,0.0,20,0.3088541666666666,20,1.0,20,47.95,20,0.3505208333333333,20,0.34074270290798614,20,0.3412450629340278,20,0.4506668836805555,20,0.4507944878472222,20,0.22945404052734375,20,0.2297078721788195,20,0.17405967283393675,20,0.1743826077275813,20,0.3183216794565545,20,0.31733459260311203,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20260826,20,0.0920138888888889,20,0.34305555555555556,20,0.8107560731668515,20,0.0,20,0.33020833333333327,20,1.0,20,48.4,20,0.3446180555555556,20,0.3414189792209201,20,0.33992890082465277,20,0.45343688964843754,20,0.4519209526909722,20,0.2321602579752604,20,0.2305934516059028,20,0.17629512328505875,20,0.1747063814406425,20,0.31332928806382243,20,0.3162269275323042,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20268848,20,0.09496527777777777,20,0.3538194444444444,20,0.8099806586242486,20,0.0,20,0.32482638888888893,20,1.0,20,46.85,20,0.34375000000000006,20,0.34251364474826385,20,0.34140212673611114,20,0.4535504286024305,20,0.4522504340277778,20,0.23233123779296871,20,0.23104353841145833,20,0.17672443362340415,20,0.17544370548754634,20,0.3119018952419069,20,0.3141218343818176,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20276870,20,0.09340277777777778,20,0.35416666666666663,20,0.8091930082448832,20,0.0,20,0.3173611111111111,20,1.0,20,47.5,20,0.34027777777777773,20,0.3410643853081597,20,0.3397462022569445,20,0.4532054578993055,20,0.4520024956597221,20,0.23198909505208337,20,0.23070920138888887,20,0.17607919919915616,20,0.17475792780758242,20,0.3129255766547549,20,0.3153660570069254,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20284892,20,0.09027777777777778,20,0.34513888888888883,20,0.814339607447155,20,0.0,20,0.3133680555555556,20,1.0,20,47.75,20,0.3512152777777778,20,0.34103355577256944,20,0.3397213270399305,20,0.4529352756076389,20,0.4519749891493056,20,0.23160303412543404,20,0.2305057779947916,20,0.17576328773379615,20,0.17458145927241556,20,0.31522586733367886,20,0.3176510712314256,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20292914,20,0.09583333333333334,20,0.3604166666666667,20,0.8066498060507963,20,0.0,20,0.31649305555555557,20,1.0,20,47.95,20,0.34600694444444446,20,0.34351436360677085,20,0.34205078124999994,20,0.45366856553819446,20,0.45240223524305556,20,0.2325689765082465,20,0.2312785101996528,20,0.17717820698252562,20,0.1758006578149291,20,0.3105112978565098,20,0.31323762389339066,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20300936,20,0.08871527777777778,20,0.3413194444444444,20,0.8062384082866183,20,0.0,20,0.3234375,20,1.0,20,47.35,20,0.34687499999999993,20,0.3414427558051215,20,0.3400706380208333,20,0.453457533094618,20,0.4524542100694444,20,0.2323648613823785,20,0.231266357421875,20,0.1764507316233976,20,0.1752494409574934,20,0.31142905682978855,20,0.31415831510755565,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20308958,20,0.09513888888888887,20,0.36111111111111116,20,0.8084384904009975,20,0.0,20,0.32170138888888883,20,1.0,20,46.25,20,0.34513888888888894,20,0.342662360297309,20,0.34160723198784726,20,0.453459242078993,20,0.45244384765625006,20,0.23231216091579862,20,0.231183349609375,20,0.1767474649822714,20,0.17559997084901716,20,0.31173595008266236,20,0.3137655978629765,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20316980,20,0.09166666666666667,20,0.3631944444444445,20,0.8082626671606207,20,0.0,20,0.32760416666666664,20,1.0,20,47.75,20,0.3421875,20,0.3431490410698784,20,0.34184871419270835,20,0.4536080322265625,20,0.45248323567708343,20,0.23253489176432293,20,0.23127815755208334,20,0.17704010554711785,20,0.1757315367292282,20,0.31064479853559956,20,0.3131641032731931,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20325002,20,0.09079861111111111,20,0.3496527777777777,20,0.8127899079373122,20,0.0,20,0.3168402777777778,20,1.0,20,47.55,20,0.33159722222222227,20,0.3405350545247396,20,0.33906339518229167,20,0.4530093994140625,20,0.45160888671874994,20,0.23173089599609376,20,0.2302467719184028,20,0.17572881483196762,20,0.17420827478001719,20,0.3146468494202853,20,0.31749882689274944,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,pSA,20333024,20,0.096875,20,0.35,20,0.8131595581772663,20,0.0,20,0.3163194444444444,20,1.0,20,46.9,20,0.3305555555555556,20,0.3425491333007812,20,0.34129220920138886,20,0.4531269124348959,20,0.4520464409722222,20,0.23174076334635413,20,0.2305826280381944,20,0.17627418947296317,20,0.17505638265058088,20,0.314926819485816,20,0.3172506094645182,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,shuffled,20260826,20,0.0920138888888889,20,0.34305555555555556,20,0.8107560731668515,20,0.0,20,0.3907986111111111,20,1.0,20,53.15,20,0.3951388888888889,20,0.40041753472222225,20,0.400394287109375,20,0.48699606662326395,20,0.48699712456597233,20,0.2745019802517361,20,0.2745036078559028,20,0.22892723416781444,20,0.22891510503210938,20,0.19776364857992662,20,0.19795954335324073,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,shuffled,20268848,20,0.09496527777777777,20,0.3538194444444444,20,0.8099806586242486,20,0.0,20,0.39583333333333326,20,1.0,20,54.6,20,0.40607638888888886,20,0.4007431369357639,20,0.40095903862847226,20,0.48704188368055557,20,0.4870069444444445,20,0.2744796006944445,20,0.27448006184895835,20,0.22903670068851523,20,0.22911481748984683,20,0.19746289039148052,20,0.19707761132014176,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,shuffled,20276870,20,0.09340277777777778,20,0.35416666666666663,20,0.8091930082448832,20,0.0,20,0.4078125,20,1.0,20,53.95,20,0.4067708333333334,20,0.3999125094943576,20,0.39979296875000003,20,0.48710179307725704,20,0.4870559895833333,20,0.2743654988606771,20,0.27434133572048613,20,0.2286224223660827,20,0.2285531093006808,20,0.19830348775016768,20,0.19859296567180337,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,shuffled,20284892,20,0.09027777777777778,20,0.34513888888888883,20,0.814339607447155,20,0.0,20,0.3850694444444444,20,1.0,20,54.7,20,0.4130208333333334,20,0.4001504448784723,20,0.4002309299045139,20,0.4870166015625001,20,0.48684554036458333,20,0.27438652208116315,20,0.2743189019097222,20,0.22872657108155336,20,0.22869740062514904,20,0.19894490504750756,20,0.19874410606624887,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
