stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,kw,rho,trial_index,trial_seed,n_cycles,selected_unsat,best_unsat,final_unsat,selected_unsat_rate,best_unsat_rate,final_unsat_rate,success,convergence_cycle,first_hit_cycle,selected_energy,best_energy
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,58,137000058,3000,0,0,0,0.0,0.0,0.0,1,1091,1091,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,59,137000059,3000,0,0,0,0.0,0.0,0.0,1,1472,1472,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,60,137000060,3000,0,0,0,0.0,0.0,0.0,1,837,837,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,61,137000061,3000,0,0,0,0.0,0.0,0.0,1,1458,1458,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,62,137000062,3000,0,0,0,0.0,0.0,0.0,1,1329,1329,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,63,137000063,3000,0,0,0,0.0,0.0,0.0,1,1163,1163,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,64,137000064,3000,0,0,0,0.0,0.0,0.0,1,998,998,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,65,137000065,3000,0,0,0,0.0,0.0,0.0,1,611,611,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,66,137000066,3000,0,0,0,0.0,0.0,0.0,1,1899,1899,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,67,137000067,3000,1,1,9,0.0016666666666666668,0.0016666666666666668,0.015,0,761,,1.0,1.0
