stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,n_variables,n_clauses,kw,rho,n_trials,n_cycles,mean_selected_unsat,mean_selected_unsat_rate,mean_best_unsat,mean_best_unsat_rate,mean_final_unsat,mean_final_unsat_rate,best_trial_unsat,best_trial_unsat_rate,success_rate_sat,mean_convergence_cycle,mean_first_hit_cycle_successful,formula_objective
A,1.2,25,51775,8d48d424dcf79cdc86e4ae8aeaf5811b23b37dc8c5bc47c1daefb53a680e8f47,True,500,600,4.0,0.02,100,3000,0.9,0.0015,0.9,0.0015,4.72,0.007866666666666666,0,0.0,0.1,338.24,1894.0,-0.008387253333333336
A,1.2,26,53778,db813954ccedf890dd33a71aab5ec9ae396c378a2e112ff6b0cd1035a4c4de3e,True,500,600,4.0,0.02,100,3000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,197.11,197.11,-0.09993429666666667
A,1.2,27,55781,8cfe51a5a6ef051a69b48d051feebe17932eb75e66a19bd3aabb4877b2bb70cb,True,500,600,4.0,0.02,100,3000,0.11,0.00018333333333333334,0.11,0.00018333333333333334,0.62,0.0010333333333333334,0,0.0,0.89,1089.59,1155.887640449438,-0.08845347000000002
A,1.2,28,57784,43bf1ae940f48ba46da71ff48fbc108827cfdab30b880a818347646cdec6dee7,False,500,600,4.0,0.02,100,3000,1.67,0.0027833333333333334,1.67,0.0027833333333333334,6.7,0.011166666666666667,1,0.0016666666666666668,,705.55,,0.0034351833333333337
A,1.2,29,59787,86cc1d37d5c5be935822c121cd6fcd10d34c25c123dcd77d08a9414a3fd7cd75,False,500,600,4.0,0.02,100,3000,2.29,0.0038166666666666666,2.29,0.0038166666666666666,7.07,0.011783333333333333,2,0.0033333333333333335,,1035.48,,0.004995159999999999
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,500,600,4.0,0.04,100,3000,0.19,0.00031666666666666665,0.19,0.00031666666666666665,1.14,0.0018999999999999998,0,0.0,0.81,1201.11,1352.7654320987654,-0.08028296333333335
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,500,600,4.0,0.04,100,3000,2.43,0.004050000000000001,2.43,0.004050000000000001,8.13,0.013550000000000001,2,0.0033333333333333335,,1010.82,,0.005220273333333334
A,1.2,2,5706,833410b8e4a70b136dda7b89f3f0aac79596e6f8fdb43f851ddeb4fce8d5ee6f,False,500,600,4.0,0.04,100,3000,2.22,0.0037,2.22,0.0037,7.77,0.01295,2,0.0033333333333333335,,743.47,,0.004781156666666667
A,1.2,3,7709,ff45cf07b0db6431caf1ac127754bb58f3cd66d97b63a98b11d73e129bfdc154,False,500,600,4.0,0.04,100,3000,2.07,0.00345,2.07,0.00345,7.92,0.0132,1,0.0016666666666666668,,1030.78,,0.00421026
A,1.2,4,9712,1136a3e30b479506765af8d183d1e027ee45abfa48525e78d8cbcc4b7c7337d5,False,500,600,4.0,0.04,100,3000,2.19,0.00365,2.19,0.00365,7.89,0.01315,2,0.0033333333333333335,,1087.95,,0.004845983333333333
